  id  |    date    | send_in_telegram |    message    |          created_at           |          updated_at           | booking_id | cleaning_id | payment_id 
------+------------+------------------+---------------+-------------------------------+-------------------------------+------------+-------------+------------
 2401 | 2024-02-19 | t                | Payment       | 2024-02-19 13:56:29.181128+00 | 2024-02-19 13:56:29.181147+00 |            |             |       2213
 2402 | 2024-02-19 | t                | Payment       | 2024-02-19 13:58:28.131229+00 | 2024-02-19 13:58:28.131245+00 |            |             |       2214
 2403 | 2024-02-20 | t                | Payment       | 2024-02-20 08:02:40.532625+00 | 2024-02-20 08:02:40.532639+00 |            |             |       2215
 2404 | 2024-02-20 | t                | Payment       | 2024-02-20 08:17:29.757345+00 | 2024-02-20 08:17:29.757357+00 |            |             |       2216
 2406 | 2024-02-20 | t                | Payment       | 2024-02-20 08:22:45.59023+00  | 2024-02-20 08:22:45.590241+00 |            |             |       2218
 2407 | 2024-02-20 | t                | Payment       | 2024-02-20 08:25:02.105865+00 | 2024-02-20 08:25:02.105879+00 |            |             |       2219
 2332 | 2024-01-04 | t                | Cleaning      | 2024-01-18 09:43:38.40606+00  | 2024-01-18 09:43:38.406071+00 |            |         447 |           
 2333 | 2024-01-04 | t                | End Booking   | 2024-01-18 09:43:38.407283+00 | 2024-01-18 09:43:38.407293+00 |        498 |             |           
 2334 | 2024-01-01 | t                | Start Booking | 2024-01-18 09:43:38.408024+00 | 2024-01-18 09:43:38.408047+00 |        498 |             |           
 2612 | 2024-04-06 | t                | Cleaning      | 2024-04-06 21:39:20.234559+00 | 2024-04-06 21:39:20.234575+00 |            |         513 |           
 2613 | 2024-04-06 | t                | End Booking   | 2024-04-06 21:39:20.236145+00 | 2024-04-06 21:39:20.236159+00 |        564 |             |           
 2614 | 2024-04-06 | t                | Start Booking | 2024-04-06 21:39:20.237072+00 | 2024-04-06 21:39:20.237086+00 |        564 |             |           
 2615 | 2024-04-06 | t                | Cleaning      | 2024-04-06 21:45:37.992594+00 | 2024-04-06 21:45:37.99261+00  |            |         514 |           
 2616 | 2024-04-06 | t                | End Booking   | 2024-04-06 21:45:37.994335+00 | 2024-04-06 21:45:37.994349+00 |        565 |             |           
 2617 | 2024-04-06 | t                | Start Booking | 2024-04-06 21:45:37.995322+00 | 2024-04-06 21:45:37.995337+00 |        565 |             |           
 2618 | 2024-04-06 | t                | Cleaning      | 2024-04-06 22:57:17.335479+00 | 2024-04-06 22:57:17.335494+00 |            |         515 |           
 2619 | 2024-04-06 | t                | End Booking   | 2024-04-06 22:57:17.339475+00 | 2024-04-06 22:57:17.33949+00  |        566 |             |           
 2620 | 2024-04-06 | t                | Start Booking | 2024-04-06 22:57:17.341103+00 | 2024-04-06 22:57:17.341116+00 |        566 |             |           
 2621 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:04:13.588029+00 | 2024-04-06 23:04:13.588057+00 |            |         516 |           
 2622 | 2024-04-06 | t                | End Booking   | 2024-04-06 23:04:13.590573+00 | 2024-04-06 23:04:13.590591+00 |        567 |             |           
 2623 | 2024-04-06 | t                | Start Booking | 2024-04-06 23:04:13.591623+00 | 2024-04-06 23:04:13.591638+00 |        567 |             |           
 2624 | 2024-04-06 | t                | Cleaning      | 2024-04-06 23:05:47.916237+00 | 2024-04-06 23:05:47.916252+00 |            |         517 |           
